#Parameters = {D=5; L=135.5; R_=5; eps=4; gap=20; sig=0.1; zg=600}
#"Frequency / GHz"	"S3,2 [Magnitude in dB]"
#------------------------------------------
0.76999998092651	-35.003853909583
0.77200001478195	-34.825862567625
0.77399998903275	-34.647759787839
0.77600002288818	-34.469533541296
0.77799999713898	-34.291170671137
0.77999997138977	-34.112664870165
0.78200000524521	-33.934008118157
0.78399997949600	-33.755198405938
0.78600001335144	-33.576235852589
0.78799998760223	-33.397121698738
0.79000002145767	-33.217862928294
0.79199999570847	-33.038467487540
0.79400002956390	-32.858948664740
0.79600000381470	-32.679320173454
0.79799997806549	-32.499601929845
0.80000001192093	-32.319816343817
0.80199998617172	-32.139986620194
0.80400002002716	-31.960143164883
0.80599999427795	-31.780315676753
0.80800002813339	-31.600541326725
0.81000000238419	-31.420857040037
0.81199997663498	-31.241302503471
0.81400001049042	-31.061923724165
0.81599998474121	-30.882766594933
0.81800001859665	-30.703879980669
0.81999999284744	-30.525316572782
0.82200002670288	-30.347129936646
0.82400000095367	-30.169377594703
0.82599997520447	-29.992117705263
0.82800000905991	-29.815412023453
0.82999998331070	-29.639322017523
0.83200001716614	-29.463913711004
0.83399999141693	-29.289248338620
0.83600002527237	-29.115397773125
0.83799999952316	-28.942427680919
0.83999997377396	-28.770406345475
0.84200000762939	-28.599405417477
0.84399998188019	-28.429491948666
0.84600001573563	-28.260739260491
0.84799998998642	-28.093217530636
0.85000002384186	-27.926996649747
0.85199999809265	-27.762147649208
0.85399997234344	-27.598742301132
0.85600000619888	-27.436848372951
0.85799998044968	-27.276537926790
0.86000001430511	-27.117877989431
0.86199998855591	-26.960937931253
0.86400002241135	-26.805783112789
0.86599999666214	-26.652482072468
0.86799997091293	-26.501098456830
0.87000000476837	-26.351697267193
0.87199997901917	-26.204340234709
0.87400001287460	-26.059088934240
0.87599998712540	-25.916002570477
0.87800002098083	-25.775140140884
0.87999999523163	-25.636558138065
0.88200002908707	-25.500311396216
0.88400000333786	-25.366454325543
