           x [mm]           y [mm]           z [mm]       ExRe [V/m]       ExIm [V/m]       EyRe [V/m]       EyIm [V/m]       EzRe [V/m]       EzIm [V/m]
             -190              100               30         -0.25493        0.0475952          8.53396         0.382494          1.53549        -0.675712
             -190              100               35        -0.161183        0.0227828          7.97438         0.238471          1.63871         -0.74531
             -190              100               40         -0.06891       -0.0047331          7.40872         0.091897          1.71629        -0.814471
             -190              100               45       0.00708917       -0.0380904          6.84752       -0.0614915          1.74589        -0.882125
             -190              100               50         0.077626       -0.0734082          6.28781        -0.217167           1.7594        -0.949273
             -190              100               55         0.126814        -0.113516          5.74251        -0.380425          1.74001          -1.0147
             -190              100               60         0.170348        -0.154894          5.20102        -0.545692           1.7119         -1.07966
             -190              100               65         0.192186        -0.199772          4.67728        -0.719175          1.66335         -1.14279
             -190              100               70         0.209657        -0.245354           4.1571         -0.89431          1.61069         -1.20556
             -190              100               75         0.207591        -0.293092          3.65363         -1.07801          1.54656         -1.26638
             -190              100               80         0.202718         -0.34114          3.15256         -1.26295          1.48078         -1.32693
             -190              100               85         0.181686        -0.390083          2.66434         -1.45626           1.4094          -1.3855
             -190              100               90         0.159177        -0.439109          2.17729         -1.65035          1.33752         -1.44389
             -190              100               95         0.124418        -0.487899          1.69727         -1.85181         0.972004         -1.11895
             -190              100              100        0.0891232        -0.536679          1.21756         -2.05359         0.593652        -0.777253
             -190              100              105       -0.0141906        -0.551544         0.809099         -2.23743         0.218127        -0.437872
             -190              100              110        -0.120957        -0.546772         0.373106         -2.34949         0.131723        -0.472136
             -190              100              115        -0.227422        -0.521793       -0.0770389         -2.38521        0.0408691        -0.491168
             -190              100              120        -0.329744        -0.476719        -0.527409         -2.34221       -0.0515808        -0.494586
             -190              100              125        -0.424134        -0.412361        -0.963897         -2.22043        -0.142801        -0.482502
             -190              100              130        -0.506975         -0.33021         -1.37262          -2.0221        -0.230082        -0.455499
             -190              100              135        -0.574945          -0.2324          -1.7403          -1.7518        -0.310908          -0.4146
             -190              100              140         -0.62513        -0.121658         -2.05463         -1.41629        -0.383031        -0.361211
             -190              100              145        -0.655127       -0.0012178         -2.30469         -1.02446        -0.444535        -0.297067
             -190              100              150        -0.663134         0.125263          -2.4812        -0.587052        -0.493877        -0.224165
             -190              100              155        -0.648024         0.253812         -2.57687        -0.116455         -0.52992         -0.14469
             -190              100              160        -0.609389         0.380264         -2.58663         0.373632         -0.55195        -0.060935
             -190              100              165        -0.547582          0.50039         -2.50781         0.868538        -0.559675        0.0247645
             -190              100              170        -0.463719         0.610025         -2.34032          1.35302        -0.553216         0.110105
             -190              100              175        -0.359673         0.705212         -2.08667          1.81167         -0.53308         0.192881
             -190              100              180        -0.238025         0.782326         -1.75201          2.22937         -0.50013         0.271043
             -190              100              185        -0.102007         0.838203         -1.34404          2.59172        -0.455534         0.342744
             -190              100              190        0.0445799         0.870254        -0.872847           2.8855        -0.400723         0.406384
             -190              100              195         0.197477         0.876571        -0.350727           3.0991        -0.337332         0.460638
             -190              100              200         0.352088         0.856005         0.208128          3.22289        -0.267144         0.504474
             -190              100              205         0.503614         0.808221         0.787969           3.2496        -0.192032         0.537171
             -190              100              210         0.647208         0.733744           1.3719           3.1746        -0.113906         0.558308
             -190              100              215         0.778124         0.633952          1.94232          2.99616       -0.0346547         0.567766
             -190              100              220          0.89188         0.511072          2.48146          2.71559        0.0438975         0.565714
             -190              100              225         0.984405         0.368122          2.97183          2.33732         0.120038         0.552577
             -190              100              230          1.05218          0.20884          3.39678          1.86888         0.192202         0.529017
             -190              100              235          1.09237        0.0375824          3.74104          1.32079         0.259001         0.495895
             -190              100              240          1.10295        -0.140802          3.99118         0.706401          0.31925         0.454241
             -190              100              245          1.08273        -0.321115          4.13608        0.0415091         0.371977         0.405217
             -190              100              250           1.0315        -0.497968          4.16736        -0.655937         0.416438         0.350076
             -190              100              255         0.950004        -0.665955          4.07974         -1.36635         0.452112         0.290131
             -190              100              260         0.839939        -0.819821          3.87125         -2.06901         0.478699         0.226712
             -190              100              265         0.703941        -0.954634          3.54347         -2.74267         0.496106         0.161141
             -190              100              270         0.545508         -1.06596          3.10157         -3.36614         0.504435        0.0947011
             -190              100              275         0.368905            -1.15          2.55431           -3.919         0.503964        0.0286063
             -190              100              280          0.17904         -1.20375          1.91389         -4.38217         0.495113       -0.0360134
             -190              100              285       -0.0186839         -1.22508          1.19568         -4.73863         0.478431       -0.0981284
             -190              100              290         -0.21853         -1.21284         0.417944         -4.97391         0.454562        -0.156824
             -190              100              295        -0.414557         -1.16647        -0.399165           -5.075         0.424153        -0.211241
             -190              100              300        -0.600809         -1.08734         -1.23206         -5.03565         0.388061        -0.260747
             -190              100              305        -0.771661        -0.977429          -2.0569         -4.85226         0.347081        -0.304794
             -190              100              310        -0.921905        -0.839703          -2.8493         -4.52546         0.302016        -0.342942
             -190              100              315         -1.04672        -0.677932         -3.58442         -4.05953         0.253639        -0.374819
             -190              100              320         -1.14241        -0.496912         -4.23939         -3.46476         0.202747        -0.400224
             -190              100              325         -1.20601        -0.301918         -4.79264         -2.75481         0.150079        -0.419008
             -190              100              330         -1.23552        -0.098689         -5.22502         -1.94723        0.0963431        -0.431097
             -190              100              335         -1.22998         0.106752          -5.5204          -1.0631        0.0422168        -0.436474
             -190              100              340         -1.18955          0.30829         -5.66633        -0.126459       -0.0116564        -0.435177
             -190              100              345         -1.11546         0.499915         -5.65446         0.836318        -0.064653        -0.427296
             -190              100              350         -1.00996         0.675916         -5.48099          1.79732        -0.116167        -0.412965
             -190              100              355         -0.87632         0.831064         -5.14688          2.72786        -0.165602        -0.392363
             -190              100              360        -0.718663         0.960781         -4.65802          3.59939        -0.212364        -0.365717
             -190              100              365         -0.54186          1.06129         -4.02512          4.38436        -0.255856        -0.333302
             -190              100              370        -0.351367          1.12973         -3.26361          5.05715        -0.295469        -0.295455
             -190              100              375        -0.153049          1.16426         -2.39323           5.5949        -0.330595        -0.252586
             -190              100              380        0.0470097           1.1641         -1.43757          5.97833        -0.360621        -0.205175
             -190              100              385         0.242703          1.12957        -0.423433          6.19243        -0.384937        -0.153798
             -190              100              390           0.4281          1.06205         0.619888          6.22707        -0.402952       -0.0991256
             -190              100              395         0.597635          0.96397          1.66149          6.07746        -0.414115       -0.0419296
             -190              100              400         0.746286           0.8387          2.66978          5.74441         -0.41793        0.0169089
             -190              100              405         0.869733         0.690435          3.61344          5.23453        -0.413984        0.0764058
             -190              100              410         0.964494         0.524064          4.46245          4.56008         -0.40197          0.13548
             -190              100              415          1.02804         0.345002          5.18909          3.73879        -0.381717         0.192964
             -190              100              420          1.05885         0.159014          5.76885          2.79341        -0.353216         0.247629
             -190              100              425          1.05647       -0.0279813          6.18129          1.75111        -0.316643         0.298201
             -190              100              430          1.02153        -0.210099          6.41085         0.642682        -0.272383         0.343396
